ordernumber;status;country
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10120;Shipped;Australia
10125;Shipped;Australia
10125;Shipped;Australia
10139;Shipped;Australia
10139;Shipped;Australia
10139;Shipped;Australia
10139;Shipped;Australia
10139;Shipped;Australia
10139;Shipped;Australia
10139;Shipped;Australia
10139;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10148;Shipped;Australia
10152;Shipped;Australia
10152;Shipped;Australia
10152;Shipped;Australia
10152;Shipped;Australia
10114;Shipped;France
10114;Shipped;France
10114;Shipped;France
10114;Shipped;France
10114;Shipped;France
10114;Shipped;France
10114;Shipped;France
10114;Shipped;France
10114;Shipped;France
10114;Shipped;France
10121;Shipped;France
10121;Shipped;France
10121;Shipped;France
10121;Shipped;France
10121;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10122;Shipped;France
10123;Shipped;France
10123;Shipped;France
10123;Shipped;France
10123;Shipped;France
10134;Shipped;France
10134;Shipped;France
10134;Shipped;France
10134;Shipped;France
10134;Shipped;France
10134;Shipped;France
10134;Shipped;France
10136;Shipped;France
10136;Shipped;France
10136;Shipped;France
10137;Shipped;France
10137;Shipped;France
10137;Shipped;France
10137;Shipped;France
10101;Shipped;Germany
10101;Shipped;Germany
10101;Shipped;Germany
10101;Shipped;Germany
10100;Shipped;USA
10100;Shipped;USA
10100;Shipped;USA
10100;Shipped;USA
10102;Shipped;USA
10102;Shipped;USA
10107;Shipped;USA
10107;Shipped;USA
10107;Shipped;USA
10107;Shipped;USA
10107;Shipped;USA
10107;Shipped;USA
10107;Shipped;USA
10107;Shipped;USA
10109;Shipped;USA
10109;Shipped;USA
10109;Shipped;USA
10109;Shipped;USA
10109;Shipped;USA
10109;Shipped;USA
10111;Shipped;USA
10111;Shipped;USA
10111;Shipped;USA
10111;Shipped;USA
10111;Shipped;USA
10111;Shipped;USA
10113;Shipped;USA
10113;Shipped;USA
10113;Shipped;USA
10113;Shipped;USA
10115;Shipped;USA
10115;Shipped;USA
10115;Shipped;USA
10115;Shipped;USA
10115;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
10124;Shipped;USA
