ordernumber;productcode;quantityordered;priceeach;orderlinenumber;orderdate;shippeddate;status;customernumber;country
10120;S10_2016       ;29;118.9;3;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S10_4698       ;46;158.8;2;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S18_2581       ;29;82.8;8;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S18_2625       ;46;57.5;4;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S24_1578       ;35;110.4;1;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S24_1785       ;39;93;10;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S24_2000       ;34;72.4;5;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S24_4278       ;29;71.7;9;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S32_1374       ;22;94.9;6;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S32_4289       ;29;68.8;11;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S50_1341       ;49;41.5;12;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S700_1691      ;47;91.3;13;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S700_2466      ;24;81.8;15;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S700_2834      ;24;106.8;7;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10120;S700_3167      ;43;72;14;2000/04/29 00:00:00.000;2000/05/01 00:00:00.000;Shipped        ;114;Australia                                         
10125;S18_1342       ;32;89.4;1;2000/05/21 00:00:00.000;2000/05/24 00:00:00.000;Shipped        ;114;Australia                                         
10125;S18_2795       ;34;138.4;2;2000/05/21 00:00:00.000;2000/05/24 00:00:00.000;Shipped        ;114;Australia                                         
10139;S18_1342       ;31;89.4;7;2000/07/16 00:00:00.000;2000/07/21 00:00:00.000;Shipped        ;282;Australia                                         
10139;S18_1367       ;49;52.8;6;2000/07/16 00:00:00.000;2000/07/21 00:00:00.000;Shipped        ;282;Australia                                         
10139;S18_2795       ;41;151.9;8;2000/07/16 00:00:00.000;2000/07/21 00:00:00.000;Shipped        ;282;Australia                                         
10139;S18_2949       ;46;91.2;1;2000/07/16 00:00:00.000;2000/07/21 00:00:00.000;Shipped        ;282;Australia                                         
10139;S18_2957       ;20;52.5;3;2000/07/16 00:00:00.000;2000/07/21 00:00:00.000;Shipped        ;282;Australia                                         
10139;S18_3136       ;20;101.6;2;2000/07/16 00:00:00.000;2000/07/21 00:00:00.000;Shipped        ;282;Australia                                         
10139;S18_3320       ;30;81.4;5;2000/07/16 00:00:00.000;2000/07/21 00:00:00.000;Shipped        ;282;Australia                                         
10139;S24_4258       ;29;93.5;4;2000/07/16 00:00:00.000;2000/07/21 00:00:00.000;Shipped        ;282;Australia                                         
10148;S18_1129       ;23;114.6;13;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S18_1589       ;47;108.3;9;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S18_1984       ;25;136.6;12;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
10148;S18_2870       ;27;113.5;10;2000/09/11 00:00:00.000;2000/09/15 00:00:00.000;Shipped        ;276;Australia                                         
